[Name];;;
fluid;;;
;;;
[Data];;;
Node Number; X [ m ]; Y [ m ]; Velocity [ m s^-1 ]
0;-1,89E+06;-7,80E+05;9,16E+08
1;-1,89E+06;-2,89E+06;8,94E+08
2;-1,88E+06;-4,99E+06;8,93E+08
3;-1,89E+06;-7,09E+06;9,00E+08
4;-1,89E+06;-9,20E+06;1,02E+09
5;2,74E+07;-9,26E+06;2,44E+08
6;2,74E+07;-7,64E+05;1,43E+08
7;2,74E+07;-2,90E+06;1,95E+09
8;2,74E+07;-5,00E+06;1,85E+09
9;2,74E+07;-7,10E+06;1,29E+08
10;2,71E+07;-8,19E+06;9,05E+07
11;2,75E+07;-6,10E+06;2,42E+09
12;2,74E+07;-3,98E+06;2,46E+09
13;2,74E+07;-1,88E+06;4,35E+08
14;2,74E+07;1,17E+05;1,67E+08
15;-8,84E+05;-9,92E+06;1,55E+09
16;2,64E+07;-9,92E+06;1,65E+09
17;-1,23E+06;-7,92E+06;7,16E+08
18;-1,23E+06;-5,81E+06;7,99E+08
19;-1,22E+06;-3,70E+06;9,05E+08
20;-1,23E+06;-1,58E+06;1,04E+09
21;-1,41E+06;6,44E+05;1,25E+09
22;1,67E+07;4,94E+05;2,00E+08
23;1,07E+07;-1,00E+07;6,68E+07
24;3,40E+06;-1,00E+07;3,91E+08
25;2,40E+07;5,33E+05;3,03E+08
26;2,54E+05;-1,00E+07;1,81E+09
27;1,85E+07;-1,00E+07;3,22E+08
28;8,89E+06;5,21E+05;1,00E+08
29;1,59E+06;5,26E+05;5,20E+08
30;5,72E+06;5,34E+05;5,11E+08
31;2,17E+07;-1,00E+07;4,11E+07
32;1,30E+07;5,48E+05;5,78E+08
33;1,44E+07;-1,00E+07;1,06E+08
34;2,03E+07;5,19E+05;3,06E+08
35;7,07E+06;-1,00E+07;8,79E+07
36;2,54E+07;-1,00E+07;2,03E+07
37;2,69E+07;-5,46E+06;2,09E+09
38;2,69E+07;-3,37E+06;2,30E+09
39;2,69E+07;-1,24E+06;3,04E+08
40;2,68E+07;-7,46E+06;9,52E+07
41;-2,09E+06;-1,76E+06;8,88E+08
42;-2,11E+06;-3,89E+06;8,71E+08
43;-2,12E+06;-5,99E+06;8,68E+08
44;-2,11E+06;-8,12E+06;8,87E+08
45;-1,51E+06;-8,32E+06;8,13E+08
46;-1,51E+06;-6,21E+06;7,23E+08
47;-1,51E+06;-4,10E+06;7,34E+08
48;-1,51E+06;-1,99E+06;7,81E+08
49;1,61E+07;4,30E+05;3,05E+08
50;1,13E+07;-9,94E+06;2,28E+08
51;2,34E+07;4,30E+05;3,69E+08
52;4,02E+06;-9,93E+06;3,28E+08
53;1,79E+07;-9,92E+06;3,06E+08
54;9,51E+06;4,17E+05;1,84E+08
55;2,20E+06;4,30E+05;4,37E+08
56;5,10E+06;4,22E+05;2,94E+08
57;2,23E+07;-9,92E+06;1,87E+08
58;1,24E+07;4,18E+05;2,11E+08
59;1,50E+07;-9,92E+06;1,94E+08
60;-1,42E+06;-3,74E+05;7,90E+08
61;1,97E+07;4,35E+05;3,39E+08
62;7,69E+06;-9,91E+06;1,75E+08
63;-2,20E+06;3,85E+05;9,39E+08
64;-1,31E+06;-2,76E+06;8,98E+08
65;-1,29E+06;-4,85E+06;9,34E+08
66;-1,30E+06;-9,08E+06;1,26E+09
67;-1,28E+06;-6,97E+06;9,97E+08
68;-6,32E+05;-1,05E+06;2,33E+09
69;-6,29E+05;-7,25E+06;2,15E+09
70;2,67E+07;-9,12E+06;1,10E+08
71;-1,99E+06;-9,71E+06;1,02E+09
72;2,68E+07;-2,47E+06;3,80E+08
73;2,68E+07;-4,58E+06;2,30E+08
74;2,68E+07;-6,70E+06;2,67E+09
75;2,68E+07;-4,03E+05;7,38E+07
76;-5,83E+05;-3,17E+06;2,47E+09
77;-5,99E+05;-5,29E+06;2,38E+09
78;2,75E+07;-1,00E+07;2,03E+09
79;2,67E+07;7,67E+05;2,05E+09
80;2,50E+07;-9,49E+06;2,64E+09
81;2,62E+07;-3,17E+06;3,23E+09
82;2,62E+07;-5,28E+06;2,88E+09
83;2,62E+07;-1,05E+06;2,67E+09
84;2,70E+07;-1,88E+06;2,31E+09
85;2,69E+07;-3,99E+06;1,08E+09
86;2,69E+07;-6,08E+06;4,38E+08
87;2,70E+07;2,11E+05;1,26E+08
88;2,78E+07;-8,40E+06;1,44E+08
89;2,76E+07;-7,74E+06;1,23E+08
90;6,43E+05;-9,44E+06;1,91E+09
91;2,61E+07;-7,37E+06;2,70E+09
92;1,34E+07;-6,33E+04;1,72E+09
93;1,40E+07;-9,43E+06;2,16E+09
94;1,71E+07;-5,65E+04;1,81E+09
